-0.88,0.09,9.51,
-1.47,0,9.8,
-0.98,0,9.41,
0,0.09,9.51,
0.39,0.39,7.06,
0.19,0.39,7.25,
-1.17,0.29,7.25,
-1.07,0,7.25,
-1.37,0,9.41,
-1.37,0.09,9.41,
-1.56,0,9.7,
-1.47,0,6.76,
0.09,0.88,9.41,
-1.47,0.19,9.41,
-1.56,0,9.41,
-1.37,0.39,9.41,
-1.56,0.39,9.51,
-1.47,0.58,9.51,
0.09,0.68,9.41,
0,0,6.66,
-1.66,0,6.66,
-1.56,0.78,9.51,
-1.56,0.78,9.61,
-1.37,0.78,9.61,
-1.17,0.39,9.51,
-1.37,0.78,9.8,
-0.78,0.78,9.8,
-0.78,0,9.8,
-0.78,0.58,9.8,
-1.17,0.58,9.61,
-1.37,0.58,9.61,
-1.27,0.68,9.41,
-0.98,0.39,9.51,
-1.37,0.49,9.9,
-1.37,0.58,9.8,
-1.56,0.39,9.8,
-1.56,0.29,9.51,
-1.17,0.49,9.41,
-1.07,0.39,9.9,
-1.37,0.58,9.8,
-1.56,0.58,9.51,
-1.47,0.78,9.41,
-1.56,0.985,1.47,8.23
-2.45,1.47,8.23,
-2.45,1.66,8.23,
-2.54,1.76,8.23,
-2.54,1.66,8.23,
-2.54,1.56,8.13,
-2.64,1.37,7.94,
-2.84,1.37,7.94,
-2.94,1.37,7.84,
-3.04,1.37,7.94,
-3.13,1.37,8.04,
-3.13,1.47,8.33,
-2.84,1.66,8.62,
-2.74,1.86,8.72,
-2.84,1.96,8.82,
-2.84,2.05,8.82,
-2.74,2.15,9.02,
-2.64,2.05,8.92,
-2.84,1.96,8.82,
-2.84,1.86,8.62,
-3.04,1.66,8.53,
-3.04,1.56,8.53,
-3.04,1.56,8.72,
-2.84,1.66,9.02,
-2.84,1.76,9.41,
-2.74,1.76,9.8,
-2.84,1.76,9.9,
-3.33,1.76,9.7,
-3.62,1.76,9.9,
-3.72,1.96,10.39,
-3.62,1.96,10.59,
-3.43,2.05,10.88,
-2.94,2.15,11.27,
-2.54,2.45,11.86,
-1.86,2.74,12.74,
-0.98,3.13,13.43,
-0.39,3.43,13.92,
0,3.62,14.12,
0.09,3.82,14.12,
0.29,3.72,13.72,
0.29,3.53,13.23,
0.09,3.53,12.55,
-0.29,3.33,11.66,
-0.58,2.74,10.68,
-0.88,2.15,9.7,
-1.17,1.66,9.21,
-1.17,1.47,9.31,
-0.98,1.37,9.41,
-0.68,1.47,9.7,
-0.39,1.76,9.9,
-0.29,2.25,10.19,
-0.39,2.54,10.19,
-0.58,3.04,10,
-0.88,3.53,9.8,
-1.17,3.82,9.61,
-1.37,3.92,9.51,
-1.47,3.72,9.21,
-1.56,3.43,9.02,
-1.56,3.13,8.92,
-1.47,2.84,8.82,
-1.37,2.54,8.82,
-1.17,2.35,8.72,
-1.27,2.25,8.62,
-1.17,2.15,8.53,
-1.07,1.96,8.62,
-1.07,1.96,8.43,
-1.17,1.86,8.33,
-1.07,1.76,8.43,
-1.07,1.56,8.33,
-1.07,1.27,8.23,
-1.07,1.07,8.23,
-1.27,1.07,8.04,
-1.47,1.07,7.94,
-1.56,1.27,8.04,
-1.76,1.37,8.04,
-1.96,1.47,8.13,
-1.96,1.56,8.23,
-2.05,1.76,8.43,
-1.96,1.76,8.53,
-1.86,1.96,8.72,
-1.76,2.25,8.82,
-1.86,2.35,9.02,
-1.86,2.45,8.92,
-1.86,2.35,8.82,
-1.96,2.25,8.72,
-2.15,2.05,8.62,
-2.15,2.05,8.43,
-2.25,1.86,8.33,
-2.25,1.76,8.13,
-2.25,1.76,8.13,
-2.45,1.76,7.94,
-2.54,1.66,7.94,
-2.45,1.47,7.94,
-2.15,1.37,8.13,
-2.05,1.27,8.13,
-1.96,1.27,8.23,
-2.05,1.17,8.23,
-2.05,1.07,8.13,
-2.15,1.07,8.04,
-2.15,1.17,8.04,
-2.35,1.37,8.13,
-2.45,1.66,8.13,
-2.54,1.56,8.13,
-2.45,1.47,8.23,
-2.54,1.37,8.13,
-2.64,1.37,8.13,
-2.84,1.47,7.94,
